Oil Filter,3.64,1,1001,202504221015,5010,V8,11,3.50
Spark Plug,12.50,1,1002,202504221020,5011,I4,12,2.99
Gasket,9.16,1,1003,202504221025,5012,I4,13,1.50
Fan Belt,9.38,1,1004,202504221030,5013,Electric,14,4.20
Fuel Pump,11.75,1,1005,202504221035,5014,I6,15,10.99
Air Hose,3.64,1,1006,202504221040,5015,V8,16,1.80
Drive Belt,9.38,1,1007,202504221045,5016,Electric,17,3.75
Intake Valve,3.64,1,1008,202504221050,5017,V8,18,5.20
Throttle Body,9.38,1,1009,202504221055,5018,I4,19,12.40
Fuel Injector,9.16,1,1010,202504221100,5019,Electric,20,9.10
