Timing Belt,1.2,2,2001,202504221105,5020,Electric,21,5.5
Alternator,6.5,2,2002,202504221110,5021,V8,22,75.0
Ignition Coil,1.0,2,2003,202504221115,5022,Electric,23,18.75
Radiator Hose,0.4,2,2004,202504221120,5023,V8,24,7.2
Brake Disc,6.0,2,2005,202504221125,5024,Electric,25,30.0
Distributor Cap,0.6,2,2006,202504221130,5025,V8,26,3.45
Cylinder Head,12.0,2,2007,202504221135,5026,Electric,27,55.0
Camshaft,4.0,2,2008,202504221140,5027,V8,28,42.0
Crankshaft Sensor,0.3,2,2009,202504221145,5028,Electric,29,15.2
Brake Booster,4.5,2,2010,202504221150,5029,V8,30,25.0
