Wiper Blade,0.2,3,3001,202504221155,5030,Electric,31,2.1
Air Filter,0.5,3,3002,202504221200,5031,Electric,32,3.6
Clutch Plate,2.5,3,3003,202504221205,5032,V8,33,24.99
Drive Shaft,6.5,3,3004,202504221210,5033,V8,34,60.0
Brake Pad,1.2,3,3005,202504221215,5034,I4,35,6.45
Shock Absorber,3.0,3,3006,202504221220,5035,I4,36,19.9
Timing Chain,1.8,3,3007,202504221225,5036,Electric,37,14.3
Ball Joint,0.6,3,3008,202504221230,5037,V8,38,5.6
Steering Rack,8.0,3,3009,202504221235,5038,V8,39,39.0
Head Gasket,0.4,3,3010,202504221240,5039,I4,40,4.8
