Exhaust Pipe,7.0,4,4001,202504221245,5040,V8,41,45.0
Thermostat,0.2,4,4002,202504221250,5041,I4,42,9.25
Water Pump,2.5,4,4003,202504221255,5042,Electric,43,20.0
Control Arm,5.0,4,4004,202504221300,5043,V8,44,34.99
Engine Mount,3.0,4,4005,202504221305,5044,I4,45,16.8
Valve Cover,1.2,4,4006,202504221310,5045,Electric,46,8.4
Spark Control,0.7,4,4007,202504221315,5046,V8,47,11.25
Oil Pan,4.5,4,4008,202504221320,5047,V8,48,33.5
Thermo Sensor,0.1,4,4009,202504221325,5048,I4,49,2.9
Crank Pulley,2.0,4,4010,202504221330,5049,V8,50,13.6
